data_item_timestamp,ticket_id,timezone_timestamp,time
2015-06-12 10:30:53.365,4718069,2015-06-12 06:30:53,06:30:53
2015-06-12 10:35:15.508,4718069,2015-06-12 06:35:15,06:35:15
2015-06-12 11:23:07.652,4718055,2015-06-12 07:23:07,07:23:07
2015-06-12 11:23:10.486,4718055,2015-06-12 07:23:10,07:23:10
2015-06-12 11:23:12.445,4718055,2015-06-12 07:23:12,07:23:12
2015-06-12 11:23:15.869,4718055,2015-06-12 07:23:15,07:23:15
2015-06-12 11:23:20.902,4718055,2015-06-12 07:23:20,07:23:20
2015-06-12 11:23:22.966,4718055,2015-06-12 07:23:22,07:23:22
2015-06-12 11:23:26.851,4718055,2015-06-12 07:23:26,07:23:26
2015-06-12 11:38:49.561,4718183,2015-06-12 07:38:49,07:38:49
2015-06-12 11:38:54.743,4718183,2015-06-12 07:38:54,07:38:54
2015-06-12 11:38:59.145,4718183,2015-06-12 07:38:59,07:38:59
2015-06-12 11:46:29.528,4718183,2015-06-12 07:46:29,07:46:29
2015-06-12 11:46:43.347,4718183,2015-06-12 07:46:43,07:46:43
2015-06-12 11:47:09.214,4718183,2015-06-12 07:47:09,07:47:09
2015-06-12 11:47:26.654,4718183,2015-06-12 07:47:26,07:47:26
2015-06-12 11:49:04.964,4718055,2015-06-12 07:49:04,07:49:04
2015-06-12 12:00:54.345,4718183,2015-06-12 08:00:54,08:00:54
2015-06-12 12:35:20.939,4716772,2015-06-12 08:35:20,08:35:20
2015-06-12 12:36:46.902,4716772,2015-06-12 08:36:46,08:36:46
2015-06-12 12:36:49.264,4716772,2015-06-12 08:36:49,08:36:49
2015-06-12 12:36:51.679,4716772,2015-06-12 08:36:51,08:36:51
2015-06-12 12:36:56.183,4716772,2015-06-12 08:36:56,08:36:56
2015-06-12 12:36:59.717,4716772,2015-06-12 08:36:59,08:36:59
2015-06-12 12:37:01.662,4716772,2015-06-12 08:37:01,08:37:01
2015-06-12 12:37:04.986,4716772,2015-06-12 08:37:04,08:37:04
2015-06-12 12:51:42.671,4718047,2015-06-12 08:51:42,08:51:42
2015-06-12 12:51:42.762,4718047,2015-06-12 08:51:42,08:51:42
2015-06-12 12:51:42.825,4718047,2015-06-12 08:51:42,08:51:42
2015-06-12 12:51:42.891,4718047,2015-06-12 08:51:42,08:51:42
2015-06-12 12:51:42.954,4718047,2015-06-12 08:51:42,08:51:42
2015-06-12 12:51:43.040,4718047,2015-06-12 08:51:43,08:51:43
2015-06-12 12:51:43.127,4718047,2015-06-12 08:51:43,08:51:43
